postId,comment,score,topic
f06aa998054e11eba66e646e69d991ea,علينا الاهتمام ببيت الابحاث العلمية و المختبرات، بماذا نفعنا الشعر و الغناء سوى التفاهة و تضييع الوقت,-9,art-et-culture
a31ed992055111ebb86b646e69d991ea,انا لله واليه راجعون.الله ارحمو واغفر ليه.ولدويه الصبر والسلوان.امين.,11,art-et-culture
a31ed992055111ebb86b646e69d991ea,إنا لله و إنا إليه راجعون رحم الله الفقيد و رزق أهله الصبر و السلوان.,7,art-et-culture
a31ed992055111ebb86b646e69d991ea,إنا لله و إنا إليه راجعون. ذكريات جميلة لممثل جميل,8,art-et-culture
a31ed992055111ebb86b646e69d991ea,نغمذ الله روح الفقيد واسكنه قسيح جناته انا لله واليه راجعون,6,art-et-culture
a31ed992055111ebb86b646e69d991ea,انا لله وانا اليه راجعون رحم الله الفنان المغربي الكبير أبعمران محمد وألهم أهله الصبر والسلوان,6,art-et-culture
a31ed992055111ebb86b646e69d991ea,"من افضل الممتليين المغاربة. فيلم بوتفوناست كان من احسن الافلام المغربية تفرجت فيه 4 مرات
الله ارحمو",11,art-et-culture
a31ed992055111ebb86b646e69d991ea,الله إرحمو و يوسع عليه أمين.............,8,art-et-culture
a31ed992055111ebb86b646e69d991ea,اللهم ارحمه واغفر له.اتذكر عندما كنت صغيرة كان والدي يشاهد هذا الفيلم ونحن نركض ونلعب بقربه ونردد بوتفوناس.ذكريات جميلة.اللهم تجاوز عنه وعامله بلطفك,14,art-et-culture
a31ed992055111ebb86b646e69d991ea,اللهم اغفر له و ارحمه يا ارحم الراحمين,8,art-et-culture
a31ed992055111ebb86b646e69d991ea,"ان لله وان اليه راجعون
اللهم ارحمه",8,art-et-culture
a31ed992055111ebb86b646e69d991ea,"Adieux notre grand artiste monsieur Abaamrane.Vous êtes un grand acteur,chanteur,animateur,humouriste.On est fier de vous notre légende.",6,art-et-culture
a31ed992055111ebb86b646e69d991ea,"رحم الله الفقید. c'est une grande perte pour les berbere du sud.
A dieu l'artiste ✋",4,art-et-culture
a31ed992055111ebb86b646e69d991ea,"إنا لله و إنا إليه راجعون.. تغمده الله بواسع رحمته.. كان ذو مكانة عالية في الفن الأمازيغي الأصيل.. له كذلك شريط سينمائي رائع لم ينل نصيبه من الشهرة و هو فيلم ""الدونيت"" إضافة إلى فيلم ""بوتفوناست"" و الكثير من الأشرطة الممزوجة بالأغاني و القصص و القفشات المسلية.. رحمه الله..",7,art-et-culture
a31ed992055111ebb86b646e69d991ea,"شخص أدخل البسمة على العديد من الامازيغ
اللهم ارحمه رحمة واسعة واسكنه فسيح جناتك",5,art-et-culture
a31ed992055111ebb86b646e69d991ea,الله ارحموا... أن لله وأنا إليه راجعون,4,art-et-culture
a31ed992055111ebb86b646e69d991ea,"اللهمّ افسح له في قبره مدّ بصره، وافرش قبره من فراش الجنّة. اللهمّ أعذه من عذاب القبر، وجفاف ِالأرض عن جنبيها. اللهمّ املأ قبره بالرّضا، والنّور، والفسحة، والسّرور. اللهمّ إنّه في ذمّتك وحبل جوارك، فقِهِ فتنة القبر، وعذاب النّار، وأنت أهل الوفاء والحقّ، فاغفر له وارحمه، إنّك أنت الغفور الرّحيم. 
السؤال المطروح هناك فنانون إن لم اقل اهرام السينماء الامازيغية لم يحضون بتكريم ملكي مثل المرحومين الحسين ابوركا و محمد اباعمران والقائمة طويلة",6,art-et-culture
